,date,China GDP (MM),Finland GDP (MM),Sudan GDP (MM),Interest Rate
0,1960-01-01,59716.47,5224.1,1307.33,3.99
1,1961-01-01,50056.87,5921.66,1419.33,1.45
2,1962-01-01,47209.36,6340.58,1541.67,2.15
3,1963-01-01,50706.8,6885.92,1568.33,2.92
4,1964-01-01,59708.34,7766.66,1611.33,3.48
5,1965-01-01,70436.27,8589.34,1679.33,3.9
6,1966-01-01,76720.29,9208.52,1723.0,4.42
7,1967-01-01,72881.63,9368.95,1865.67,4.94
8,1968-01-01,70846.54,8823.03,1947.33,4.61
9,1969-01-01,79705.91,10070.77,2144.33,6.3
10,1970-01-01,92602.97,11357.52,2437.67,8.98
11,1971-01-01,99800.96,12527.41,2656.0,4.14
12,1972-01-01,113687.59,14743.19,2882.0,3.51
13,1973-01-01,138544.28,19472.36,3571.67,5.94
14,1974-01-01,144182.13,24848.82,4595.0,9.65
15,1975-01-01,163431.55,29472.62,5598.0,7.13
16,1976-01-01,153940.46,31849.51,6979.33,4.87
17,1977-01-01,174938.1,33499.8,8704.0,4.61
18,1978-01-01,149540.75,36256.16,7670.5,6.7
19,1979-01-01,178280.59,44465.26,9032.25,10.07
20,1980-01-01,191149.21,53645.2,8951.8,13.82
21,1981-01-01,195866.38,52448.33,10016.5,19.08
22,1982-01-01,205089.7,52797.58,8316.0,13.22
23,1983-01-01,230686.75,50973.53,8230.15,8.68
24,1984-01-01,259946.51,52888.8,10447.62,9.56
25,1985-01-01,309488.03,55875.86,8089.39,8.35
26,1986-01-01,300758.1,73531.55,10092.2,8.14
27,1987-01-01,272972.97,91594.75,12093.33,6.43
28,1988-01-01,312353.63,109058.99,14372.56,6.83
29,1989-01-01,347768.05,119012.05,21408.11,9.12
30,1990-01-01,360857.91,141438.35,33641.22,8.23
31,1991-01-01,383373.32,127773.86,43891.29,6.91
32,1992-01-01,426915.71,112532.52,7034.22,4.03
33,1993-01-01,444731.28,89214.11,8881.79,3.02
34,1994-01-01,564324.67,103299.94,12794.19,3.05
35,1995-01-01,734547.9,134189.81,13829.74,5.53
36,1996-01-01,863746.72,132129.17,9018.24,5.56
37,1997-01-01,961603.95,126912.15,11681.49,5.25
38,1998-01-01,1029043.1,134038.72,11250.33,5.56
39,1999-01-01,1093997.27,135264.08,10682.05,4.63
40,2000-01-01,1211346.87,126019.54,12257.42,5.45
41,2001-01-01,1339395.72,129533.11,15716.49,5.98
42,2002-01-01,1470550.02,140404.46,18136.84,1.73
43,2003-01-01,1660287.97,171652.46,21355.58,1.24
44,2004-01-01,1955347.0,197479.44,26645.49,1.0
45,2005-01-01,2285965.89,204885.49,35182.11,2.28
46,2006-01-01,2752131.77,217089.27,45264.52,4.29
47,2007-01-01,3550342.74,256378.07,59440.14,5.25
48,2008-01-01,4594307.03,285716.31,64831.94,3.94
49,2009-01-01,5101703.07,253497.52,58316.19,0.15
50,2010-01-01,6087163.87,249424.31,74151.19,0.11
51,2011-01-01,7551500.12,275604.36,78403.42,0.17
52,2012-01-01,8532229.99,258290.06,63195.5,0.08
53,2013-01-01,9570406.24,271362.41,66026.6,0.14
54,2014-01-01,10475682.92,274862.83,76818.33,0.07
55,2015-01-01,11061553.08,234534.38,84985.13,0.11
56,2016-01-01,11233276.54,240771.35,102943.74,0.34
57,2017-01-01,12310409.37,255647.98,129717.8,0.65
58,2018-01-01,13894817.55,275708.0,32333.78,1.41
59,2019-01-01,14279937.5,268514.92,32338.08,2.4
60,2020-01-01,14687673.89,271891.79,27034.59,1.55
61,2021-01-01,17734062.65,297301.88,34326.06,0.09
